COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
1,NOVO,CDC,M,26,0,227
2,NOVO,RENEGOCIAÇÃO,M,39,0,37
3,NOVO,PESSOAL,M,31,1,
4,NOVO,PESSOAL,F,45,11,
5,NOVO,CDC,F,25,0,8
6,NOVO,PESSOAL,M,35,14,
7,NOVO,CDC,M,39,16,
8,NOVO,PESSOAL,F,38,0,22
9,NOVO,CDC,M,64,0,14
10,NOVO,CDC,M,31,4,
11,NOVO,PESSOAL,M,38,4,
12,INVESTIDOR,RENEGOCIAÇÃO,M,37,16,
13,NOVO,PESSOAL,M,46,0,6
14,NOVO,PESSOAL,M,,0,
15,INVESTIDOR,CDC,M,47,0,9
16,TOMADOR,RENEGOCIAÇÃO,M,36,12,
17,INVESTIDOR,CDC,M,36,5,28
18,INVESTIDOR,RENEGOCIAÇÃO,M,38,0,20
19,INVESTIDOR,PESSOAL,M,33,16,
20,NOVO,RENEGOCIAÇÃO,F,36,8,
21,INVESTIDOR,RENEGOCIAÇÃO,M,31,0,10
22,NOVO,CDC,F,,0,
23,NOVO,PESSOAL,M,31,4,
24,NOVO,PESSOAL,M,,1,
25,INVESTIDOR,CDC,M,35,0,4
26,INVESTIDOR,CDC,F,44,7,21
27,INVESTIDOR,RENEGOCIAÇÃO,F,69,3,
28,NOVO,CDC,M,76,4,
29,INVESTIDOR,PESSOAL,,24,0,5
30,NOVO,CDC,F,39,12,
31,NOVO,CDC,F,43,8,
32,NOVO,PESSOAL,M,29,16,
33,NOVO,PESSOAL,F,21,16,
34,NOVO,CDC,F,44,0,63
35,NOVO,CDC,M,41,0,
36,NOVO,PESSOAL,I,51,0,2
37,NOVO,CDC,F,41,0,6
38,NOVO,CDC,F,50,16,
39,INVESTIDOR,CDC,F,56,0,3
40,NOVO,CDC,F,37,2,
41,NOVO,CDC,F,43,2,12
42,NOVO,PESSOAL,M,31,2,
43,NOVO,RENEGOCIAÇÃO,M,55,4,6
44,NOVO,CDC,F,40,16,
45,INVESTIDOR,PESSOAL,F,56,0,
46,NOVO,PESSOAL,F,22,0,8
47,TOMADOR,RENEGOCIAÇÃO,F,42,7,
48,NOVO,RENEGOCIAÇÃO,M,30,0,13
49,NOVO,CDC,M,34,10,
50,INVESTIDOR,CDC,M,50,0,
51,INVESTIDOR,RENEGOCIAÇÃO,M,44,0,
52,INVESTIDOR,CDC,M,46,16,
53,INVESTIDOR,CDC,M,28,9,
54,NOVO,CDC,F,34,14,51
55,NOVO,CDC,I,44,1,11
56,NOVO,CDC,M,34,16,
57,INVESTIDOR,CDC,M,30,4,5
58,INVESTIDOR,CDC,M,52,0,3
59,NOVO,CDC,M,30,0,15
60,NOVO,CDC,M,42,16,
61,NOVO,CDC,M,,0,
62,NOVO,PESSOAL,M,38,0,8
63,NOVO,CDC,M,,10,
64,TOMADOR,CDC,F,59,0,14
65,NOVO,CDC,I,39,0,61
66,NOVO,RENEGOCIAÇÃO,M,30,0,7
67,NOVO,CDC,,,0,95
68,NOVO,CDC,F,41,0,3
69,NOVO,PESSOAL,F,,3,154
70,NOVO,PESSOAL,M,29,16,
71,NOVO,RENEGOCIAÇÃO,M,,4,34
72,NOVO,CDC,F,,0,28
73,TOMADOR,CDC,,37,3,
74,NOVO,RENEGOCIAÇÃO,F,38,0,5
75,INVESTIDOR,RENEGOCIAÇÃO,M,54,7,11
76,NOVO,RENEGOCIAÇÃO,,62,0,8
77,NOVO,CDC,F,20,3,36
78,NOVO,CDC,,35,0,
79,INVESTIDOR,CDC,M,51,0,3
80,NOVO,CDC,M,61,8,
81,NOVO,PESSOAL,F,29,16,
82,NOVO,RENEGOCIAÇÃO,M,,16,
83,NOVO,CDC,M,35,11,15
84,NOVO,PESSOAL,M,44,9,6
85,NOVO,CDC,F,37,0,2
86,NOVO,CDC,M,47,16,
87,NOVO,CDC,M,25,16,
88,INVESTIDOR,CDC,F,40,5,
89,INVESTIDOR,CDC,M,35,7,3
90,INVESTIDOR,CDC,M,53,0,4
91,NOVO,RENEGOCIAÇÃO,M,35,14,5
92,INVESTIDOR,PESSOAL,I,34,0,8
93,NOVO,CDC,F,46,8,
94,TOMADOR,RENEGOCIAÇÃO,M,35,0,5
95,NOVO,CDC,F,63,16,
96,TOMADOR,RENEGOCIAÇÃO,M,34,16,
97,NOVO,CDC,M,53,2,
98,NOVO,PESSOAL,M,39,0,
99,TOMADOR,CDC,F,,0,230
100,TOMADOR,PESSOAL,F,35,15,70
101,NOVO,RENEGOCIAÇÃO,F,27,0,8
102,NOVO,CDC,M,36,3,15
103,NOVO,PESSOAL,F,25,2,4
104,NOVO,CDC,M,42,16,
105,INVESTIDOR,PESSOAL,F,37,0,45
106,NOVO,RENEGOCIAÇÃO,,33,0,7
107,TOMADOR,CDC,,45,16,
108,NOVO,CDC,M,37,1,11
109,NOVO,RENEGOCIAÇÃO,M,42,16,
110,NOVO,CDC,M,,14,
111,TOMADOR,CDC,M,,0,36
112,NOVO,PESSOAL,M,35,0,
113,INVESTIDOR,CDC,M,40,0,3
114,NOVO,RENEGOCIAÇÃO,F,31,0,3
115,NOVO,CDC,M,37,0,3
